sabin 10012:2:38416,38416
sold 10012:4:37556,37556,37631,39855
soldier 10012:2:14589,14589
sole 10012:2:32353,32353
solemn 10012:8:3992,3992,6672,6864,10199,10788,25537,26587
solemnli 10012:4:6766,6766,27344,29270
solicit 10012:4:42482,42482,42499,42503
solid 10012:13:3491,3491,4057,5249,8762,12420,12506,12878,16521,28328,31577,31635,35660
solitari 10012:5:14232,14232,26142,30852,33386
solitud 10012:8:7019,7019,11245,20506,26144,32320,34974,40401
somber 10012:11:3605,3605,5356,5799,6754,9513,9670,10782,16128,27732,29586
song 10012:29:910,910,2072,2345,6375,10242,14220,25416,25431,27478,28261,30201,30468,30503,30533,30886,30901,30946,31044,31409,31428,31601,32033,32224,32280,32296,32304,33483,36942
songster 10012:3:30495,30495,32419
sonora 10012:3:8628,8628,8714
sooner 10012:4:17402,17402,20052,26867
sooth 10012:8:8417,8417,9721,10592,19315,29077,29977,38224
soothingli 10012:2:10226,10226
sore 10012:2:8679,8679
sorrow 10012:2:30543,30543
sort 10012:11:7938,7938,10338,13519,15490,15918,16857,30614,32325,38525,39149
sought 10012:3:26069,26069,33667
soul 10012:4:29306,29306,34080,35469
sound 10012:34:2750,2750,2906,3030,6666,6855,6970,7375,8440,8488,9880,10827,10860,13580,18506,19312,23311,25498,26007,26162,26183,26190,26506,26920,27093,27244,27779,28935,29083,29418,30151,30624,36357,39584
sourc 10012:6:2675,2675,5898,27897,32552,42635
south 10012:65:372,372,464,1365,1909,1935,2488,2504,3084,3117,3286,3398,3611,3806,4069,5165,5522,5527,5562,5591,6230,8805,8814,8824,8870,8896,9665,9827,11680,12481,12493,12500,12716,13907,13941,13978,14352,17265,18740,19728,19804,19857,20923,21056,21499,21646,21744,21768,26364,28400,30701,31944,32734,32761,33510,33770,35218,35580,36305,36517,36695,38119,38282,38358,38849
southeast 10012:4:13970,13970,37191,37447
southeastern 10012:4:2697,2697,3312,37180
southern 10012:19:1389,1389,1420,3255,7130,8226,8716,12315,17064,19660,23331,23844,35751,37671,39692,39756,39774,39970,41079
southernmost 10012:3:2858,2858,8964
southward 10012:17:1431,1431,1478,2985,6306,6315,6467,7715,7762,17152,19688,19721,19759,21740,23741,24701,25105
southwest 10012:3:117,117,1737
sown 10012:4:10164,10164,11610,16995
space 10012:8:3227,3227,9830,14557,15225,19317,23368,24862
spaciou 10012:3:724,724,3435
span 10012:2:4579,4579
spangl 10012:9:7053,7053,10952,11817,11824,13032,27389,29629,33572
spanish 10012:6:329,329,40436,40443,40460,40556
spar 10012:3:14905,14905,22435
spare 10012:5:6000,6000,22896,32392,37654
sparingli 10012:3:26282,26282,40227
spark 10012:2:1165,1165
sparkl 10012:10:9780,9780,10165,11619,18470,26496,27225,30975,36134,36890
sparrow 10012:7:7044,7044,7368,25440,30559,30759,32394
spars 10012:8:6582,6582,19678,23735,24292,24599,27016,38866
spawn 10012:2:13686,13686
speak 10012:11:1464,1464,5719,7011,12152,15460,16516,22260,22812,25603,30082
speaker 10012:2:29378,29378
spear 10012:2:17337,17337
speci 10012:118:748,748,900,9351,10438,10444,10698,14046,14301,14643,14742,14755,14824,15851,16193,16266,16275,16287,16926,17146,17971,18087,18274,18344,18481,18536,19094,19111,19385,19463,19673,19854,20664,20864,20880,20899,21015,21406,21484,21492,21742,21852,21861,21871,21875,21891,21900,21919,21962,22121,22453,22490,22550,22603,22624,22744,23344,23361,23429,23504,23541,23720,23813,23841,23974,24149,24233,24291,24340,24568,24913,24956,25097,25111,25919,25975,27063,27183,27512,27647,27827,31752,32527,32677,32711,32773,32783,32795,32849,32871,33099,34826,34886,35006,35537,36587,36605,37014,37085,37245,37349,37465,37490,37871,37977,38002,38042,38053,38322,38405,38468,38529,38637,39370,39382,39736,39798,41154
special 10012:17:7978,7978,12332,14680,16873,17943,18876,20203,20551,22275,23377,23905,24050,27517,29064,36555,41212
specif 10012:3:15431,15431,41240
specimen 10012:48:3580,3580,9341,10746,11001,11362,12327,12426,12439,13653,15759,16610,17040,17075,17109,17282,18180,18291,18366,18728,18809,19066,19139,19874,20387,20690,20696,22152,22507,22556,23008,23021,23671,23693,23966,24895,29773,32545,32547,33023,34295,34356,34773,35493,35499,35733,35997,38146
speckl 10012:2:26512,26512
spectacl 10012:5:11720,11720,18446,22385,28147
spectat 10012:3:245,245,25452
specul 10012:2:25170,25170
speech 10012:2:25215,25215
speed 10012:6:11223,11223,21966,25360,28071,33186
speedi 10012:2:20902,20902
speedili 10012:10:3533,3533,10029,17642,20549,20593,22103,24468,25486,25995
spell 10012:2:17866,17866
spellbound 10012:2:7268,7268
spend 10012:7:10504,10504,28723,30679,30688,31252,33850
spent 10012:9:569,569,5653,6663,7401,9196,19977,22814,37120
spermophil 10012:3:26276,26276,36963
spermophilu 10012:2:26260,26260
sphagnum 10012:4:3509,3509,15640,21355
sphere 10012:2:36448,36448
spice 10012:4:2374,2374,25925,27892
spici 10012:4:6820,6820,18920,35789
spider 10012:2:37305,37305
spike 10012:8:2023,2023,9797,11861,12691,14530,14759,34335
spiki 10012:3:3661,3661,6677
spiraea 10012:5:10059,10059,12760,38317,38645
spiral 10012:5:25299,25299,25808,25889,32919
spire 10012:16:908,908,1445,6941,7290,7483,7724,7987,18207,19319,19563,22371,24154,27400,29076,30140
spirei 10012:2:12723,12723
spiri 10012:5:17738,17738,17919,18834,20175
spirit 10012:4:3718,3718,9719,10296
spiritu 10012:8:5844,5844,5894,10909,14623,31009,32289,39689
spirsea 10012:2:33459,33459
spite 10012:2:35952,35952
spitsbergen 10012:2:2496,2496
spitzbergen 10012:2:1933,1933
splash 10012:2:5253,5253
splendid 10012:7:3413,3413,4305,5180,11107,27990,36198
splendor 10012:4:15081,15081,27729,36427
splice 10012:2:11045,11045
splinteri 10012:2:3613,3613
split 10012:4:2131,2131,17595,30053
spoil 10012:2:26112,26112
spoiler 10012:2:26113,26113
spoken 10012:2:33100,33100
spong 10012:5:4767,4767,21258,21308,28653
spongi 10012:3:15652,15652,32887
spontan 10012:2:30895,30895
spore 10012:2:14804,14804
sport 10012:2:35456,35456
spot 10012:16:7500,7500,7661,13985,19504,21683,22000,26441,27324,31806,31967,33412,33984,34673,37793,40307
spout 10012:4:1502,1502,1774,5537
spraguea 10012:3:14051,14051,38530
sprai 10012:48:594,594,1683,5129,6393,6996,9897,11461,12937,15738,16638,18611,18644,18685,18768,20145,20228,20341,22574,22732,22969,22984,23046,23131,24058,24850,26520,27160,27362,28790,28805,29200,29214,29837,30030,30186,30345,31055,31541,31765,31851,31950,31975,32008,33644,34095,36294,40623
sprang 10012:3:20572,20572,20760
sprawl 10012:2:13318,13318
spread 10012:28:2348,2348,7894,10000,11708,13497,17531,17790,18031,18603,18863,20224,23061,23409,23417,23606,24069,24784,24846,24929,25678,26312,27914,29024,29733,40919,41129,42429
spree 10012:2:36052,36052
spring 10012:51:1093,1093,1498,4297,4487,4611,7095,7740,9601,11927,13216,13543,14477,15172,15765,16091,16569,16955,17008,19333,21435,22531,23307,24810,25052,27230,28226,28249,28289,28323,28361,28379,28392,28396,28417,28422,28447,29486,29741,30530,31835,33194,36142,36906,37118,37472,37752,37952,38270,39603,40419
springi 10012:2:25838,25838
springtim 10012:9:448,448,6192,12035,28454,30678,37048,37276,38222
sprinkl 10012:5:3938,3938,10637,22304,31827
sprout 10012:3:26682,26682,40012
spruce 10012:36:192,192,225,887,3627,6604,11495,11931,12744,13780,16157,17088,17982,17984,18574,18579,18585,18619,22902,22946,22950,23082,23097,23373,23959,24977,25768,25785,26216,26955,27177,27360,27465,27584,33711,40996
sprung 10012:2:12584,12584
spur 10012:19:314,314,411,3368,3599,6308,6504,7106,7148,8199,9180,11478,11523,11657,15862,21658,38062,40035,40467
sputter 10012:2:25321,25321
squar 10012:8:2557,2557,2561,7941,10433,19717,30870,36633
squat 10012:2:39948,39948
squaw 10012:6:9269,9269,16733,24411,24438,34699
squirrel 10012:55:82,82,241,2059,6816,13104,13184,14540,16695,16713,16774,17862,19368,20430,20446,20508,21146,23399,24011,24518,24818,24946,24950,24988,25091,25191,25208,25213,25225,25226,25427,25448,25474,26033,26117,26200,26368,26503,26516,26606,26620,26679,27334,29678,29683,32381,33486,33526,35788,37294,40071,40116,40142,40161,40991
squirrelish 10012:3:24266,24266,25222
st 10012:5:2648,2648,2724,2856,2962
stabl 10012:2:31799,31799
staff 10012:3:13323,13323,42528
stage 10012:3:1363,1363,28865
stai 10012:2:25691,25691
stain 10012:5:3853,3853,7297,9547,17693
stair 10012:2:25489,25489
stairwai 10012:2:36146,36146
stake 10012:3:4158,4158,13603
stalactit 10012:3:36258,36258,36382
stalagmit 10012:3:36182,36182,36259
stalk 10012:7:14738,14738,15073,21068,22960,32926,37387
stamen 10012:3:14790,14790,37434
stamin 10012:7:18405,18405,18943,19197,20336,23086,23509
stand 10012:42:637,637,1151,1532,1738,5107,5310,6471,8025,8099,10048,11704,12749,12993,13029,13806,13999,14090,15612,16082,16194,16791,16875,18507,19049,19152,19494,19935,20109,20463,20569,20608,22421,22853,23884,24037,29812,30863,33976,34096,38122,40090
standpoint 10012:5:7992,7992,11293,21945,35922
stanislau 10012:7:8632,8632,21592,21706,21710,35226,35257
star 10012:11:6727,6727,6883,8444,10597,10814,11827,15121,15231,19545,30247
stare 10012:2:36177,36177
starr 10012:4:149,149,13642,13645
starri 10012:5:3651,3651,4907,13130,19325
start 10012:6:40,40,24394,40521,41268,42643
startl 10012:6:9627,9627,10850,13305,29834,33925
starv 10012:2:11168,11168
starvat 10012:3:40080,40080,40191
state 10012:41:347,347,2678,3128,5878,11124,11629,16932,17299,21732,24536,24795,32567,36823,37617,37673,38076,38372,39711,39973,41061,41200,41207,41433,41439,41442,41509,41512,41540,41609,42142,42156,42166,42327,42361,42469,42471,42494,42501,42510,42524
statement 10012:4:9380,9380,12408,42518
station 10012:2:31294,31294
statu 10012:5:41536,41536,42332,42459,42492
statur 10012:3:18106,18106,29359
steadfast 10012:7:1755,1755,8109,14638,22832,24940,27422
steadi 10012:4:4367,4367,5508,25567
steadili 10012:5:7798,7798,20201,32185,37168
steal 10012:6:14208,14208,20053,26028,26037,30847
steam 10012:7:15358,15358,16092,27275,29474,29657,29879
steel 10012:6:17586,17586,19332,22099,29830,29831
steep 10012:15:7325,7325,7338,7503,7561,9173,11345,11364,27882,29502,31548,33812,33911,40297,40869
steepen 10012:2:8292,8292
steeper 10012:2:38621,38621
steepest 10012:3:9139,9139,9607
steepli 10012:7:6246,6246,7175,9003,10369,12048,28625
steller 10012:3:30825,30825,32201
stem 10012:6:14778,14778,23104,31740,37422,40703
step 10012:20:755,755,2342,7329,7475,8331,8986,8999,9087,9088,9291,10123,10939,13310,17366,17854,34178,35672,36661,36931
steril 10012:2:22231,22231
stern 10012:4:823,823,10068,12807
sterner 10012:2:14612,14612
stick 10012:4:16727,16727,36402,40784
sticki 10012:2:13685,13685
stiff 10012:10:16653,16653,22216,24005,26927,33919,36376,37745,38650,40710
stifl 10012:2:7623,7623
stikeen 10012:3:2870,2870,32449
still 10012:4:11464,11464,36453,39293
stimul 10012:4:14945,14945,25019,26811
sting 10012:5:15046,15046,25014,39503,39530
stir 10012:15:3703,3703,10247,19371,19575,20513,23403,24997,25280,27688,28054,30829,36227,36953,37815
stock 10012:7:6916,6916,8848,13680,32012,33946,34427
stole 10012:2:26386,26386
stone 10012:26:2116,2116,2325,3889,3939,4774,7160,7334,7385,7494,8062,8785,9292,13402,14106,14975,15202,29654,30669,32152,32170,32181,34632,34706,36276,36396
stoni 10012:2:36425,36425
stood 10012:17:3466,3466,3881,6129,6708,7299,7686,10319,10880,17217,17384,26654,27374,29266,31401,33854,36178
stool 10012:4:32358,32358,35987,36132
stoop 10012:4:3173,3173,9287,32175
stop 10012:13:4032,4032,7590,12386,13598,13794,20221,23384,26652,27239,34149,36120,37574
store 10012:18:4356,4356,5650,13190,17002,17878,25049,25370,25700,26102,30176,30795,30849,39114,39457,40152,40234,41981
stori 10012:5:10567,10567,10897,36152,39932
storm 10012:161:84,84,92,222,253,816,998,1446,3149,3573,4258,4307,4309,4344,4424,4437,4521,4889,4961,5110,5219,5692,5919,6003,6217,6267,6285,6746,6782,6896,7403,7426,9030,9771,10019,10879,10935,11209,12531,13144,13146,14509,15253,15272,15274,15392,16087,16239,16431,17053,17963,18347,18419,18635,18932,19242,19826,19932,20422,20524,20954,21280,22442,22472,22677,22923,22996,23079,23107,23271,23711,23808,24089,24105,24982,25703,26744,26839,26869,26879,26897,26911,26931,26979,27020,27185,27197,27235,27242,27282,27342,27524,27780,27838,28152,28162,28176,28183,28212,28491,28544,28631,28719,28763,28778,28848,28892,28984,29008,29036,29108,29130,29143,29167,29259,29276,29305,29335,29376,29404,29417,29420,29433,29526,29681,29739,29755,29768,29882,29893,29938,29989,30440,30514,30515,30610,30804,30846,30856,30881,31264,32605,32649,33279,33304,33350,33356,33428,34246,34753,34948,35651,37149,37189,37194,38561,39541,39542,39566,39597,39794
stormi 10012:12:984,984,2133,8091,10914,23635,30091,31156,31381,31455,33326,34584
stormless 10012:2:26864,26864
straggl 10012:5:3369,3369,3787,23455,23755
straggler 10012:4:9321,9321,20673,20676
straight 10012:15:5582,5582,13659,16627,18209,19200,20722,23890,27319,29785,30159,30937,31559,32501,36379
straighten 10012:2:19605,19605
straightwai 10012:2:26158,26158
strain 10012:5:10120,10120,30964,30989,32124
strait 10012:6:2987,2987,3028,32812,32818,32831
strand 10012:3:3797,3797,32516
strang 10012:25:3222,3222,3991,5315,5970,7680,9462,10566,10693,10760,10824,10859,15998,17284,23929,26176,26505,27279,28477,30918,33999,36191,38918,39057,40385
stranger 10012:3:6657,6657,17112
strangest 10012:2:7122,7122
stratifi 10012:4:10752,10752,14145,35636
stratum 10012:2:10486,10486
straw 10012:2:39338,39338
strawberri 10012:3:38306,38306,38486
streak 10012:6:5252,5252,5397,13207,19228,22303
stream 10012:147:292,292,760,1208,1560,1640,2098,2677,3497,3712,3724,3750,3761,3822,3843,4363,4578,4629,4700,4702,5261,5440,5513,6068,6344,6398,6629,6718,6947,8413,8533,8538,8933,9452,9759,9863,9950,9990,10064,10145,10158,10191,10232,10298,10394,11042,11257,11456,11602,11961,11977,11981,11993,12003,12023,12072,12083,12096,12113,12173,12846,12886,12891,13205,13366,13389,13488,13552,13574,13826,13965,14884,14987,15054,15559,15747,15755,15949,15971,16217,16764,18427,20825,21201,21208,21229,21240,21248,21325,21449,23412,24407,24562,24586,24656,24671,25275,27163,27348,27872,28110,28153,28280,28437,28666,28769,28802,29007,29958,30339,30374,30397,30433,30456,30480,31007,31037,31109,31146,31150,31418,31476,31491,31494,31515,31624,31640,31646,31869,31874,33258,33723,34046,34113,35188,35282,36572,37951,38312,38509,38851,39765,40003,40026,40084,40532,40971
streamer 10012:4:1347,1347,5414,5543
streamlet 10012:2:40895,40895
street 10012:5:695,695,35431,35446,36139
strength 10012:21:2150,2150,3006,7682,9420,10361,20304,22564,23185,24942,25257,25269,25637,26757,26999,30483,31370,32658,33051,34203,34253
strengthen 10012:2:36492,36492
stretch 10012:12:3655,3655,10643,12136,12617,13465,14487,25852,28884,29582,34601,35715
strewn 10012:6:5348,5348,6199,16207,27060,35989
striat 10012:3:3268,3268,10342
stricken 10012:5:17860,17860,19827,20521,20955
strict 10012:5:14587,14587,17906,20162,42041
strictli 10012:9:5718,5718,5823,18845,19192,22259,27146,31445,39543
stride 10012:2:9282,9282
strike 10012:30:3135,3135,4493,7745,8209,10284,10339,13789,15587,15610,16658,16719,16798,17240,18201,19416,21369,22220,26772,27372,29762,30893,30988,33223,34317,34528,36399,39661,40136,40473
strikingli 10012:10:2542,2542,4666,8594,12116,17489,18872,31373,31519,33727
string 10012:4:17348,17348,36391,36401
strip 10012:13:6110,6110,9914,11188,12858,13296,14006,22034,25821,30465,33578,33721,36706
stripe 10012:6:23396,23396,25143,25151,26024,26297
strode 10012:3:7068,7068,10580
stroke 10012:6:28977,28977,29886,30045,31210,39516
strong 10012:31:2201,2201,2319,4385,10112,11197,16063,16707,17287,18602,19025,22313,23192,23197,25160,27558,27835,30299,30591,30983,31357,32578,32628,33439,33463,33880,34292,34365,39496,40475,40896
stronger 10012:2:22548,22548
strongest 10012:3:29696,29696,33305
stronghold 10012:4:9739,9739,20913,34423
strongli 10012:2:26451,26451
struck 10012:5:12304,12304,27561,34293,34475
structur 10012:11:2225,2225,3908,3933,4059,4465,5119,8346,31447,31798,37237
structureless 10012:2:15160,15160
struggl 10012:6:20908,20908,21012,27844,27846,33924
strung 10012:3:11451,11451,17210
stubborn 10012:4:18883,18883,22711,22942
student 10012:6:10333,10333,14932,16446,20658,35083
studi 10012:29:1795,1795,1939,2090,2104,2188,3421,4097,5117,5668,6043,6238,8006,9013,15666,16389,16925,17933,18083,20628,21512,21925,26348,27328,27608,29118,33162,35090,37018
studiou 10012:2:11388,11388
stump 10012:9:19941,19941,19947,20557,22727,25373,26637,30860,36292
stumpi 10012:2:22826,22826
stupend 10012:5:671,671,7795,8833,10874
sturdi 10012:2:14097,14097
style 10012:2:12488,12488
subalpin 10012:4:11322,11322,14414,15701
subdirectori 10012:2:42607,42607
subdivis 10012:2:38375,38375
subdu 10012:4:3981,3981,22647,30980
subject 10012:13:3145,3145,3279,5600,12388,12407,15487,22298,28299,32262,34328,34436,41263
sublim 10012:23:1732,1732,5055,6090,6723,7100,7252,7748,7781,7859,8924,10644,17025,27125,28021,28148,28908,29422,33742,35310,35846,36241,39144
submerg 10012:2:30376,30376
subordin 10012:8:1624,1624,3040,8019,16632,20202,32755,40685
subscrib 10012:2:42670,42670
subsequ 10012:2:1629,1629
subsid 10012:4:10542,10542,30577,30751
substanti 10012:6:8638,8638,14632,16662,25082,28150
succe 10012:7:4308,4308,13145,15273,15466,36900,39454
succeed 10012:8:1727,1727,7436,8172,8179,10025,22393,34689
success 10012:27:3409,3409,3417,4101,4762,6893,7402,8391,11450,12012,15397,16237,17921,29098,30036,30458,31923,32106,33916,34138,34566,34623,37170,37565,39020,39042,40961
suck 10012:2:39337,39337
suckl 10012:2:39362,39362
sudden 10012:11:9626,9626,15136,25294,25516,28300,28565,28685,29909,33858,35650
suddenli 10012:22:1757,1757,4519,4534,6971,7587,7633,9732,10661,12277,14558,27696,27993,28387,28659,31214,31343,31404,32173,32494,37227,37405
suffer 10012:14:9425,9425,13403,20419,22065,22870,23867,30506,31432,33377,38337,39963,40073,40208
suffici 10012:30:4104,4104,4345,5134,5191,5510,6550,6569,8213,9829,10695,10927,12338,15626,16741,16838,18836,21119,21465,22409,25927,26863,28582,28595,32248,33961,34320,37254,38507,39831
suffus 10012:2:6688,6688
sugar 10012:46:177,177,182,189,249,883,16010,16055,16341,17012,17503,17573,17623,17655,17659,17665,17697,17721,17746,17786,17884,17893,17979,18104,18174,18204,18534,18564,18580,21040,21084,21475,21745,21772,21774,22626,22838,23910,23946,25860,25895,25900,26970,27330,29264,33702
suggest 10012:17:613,613,2083,3452,6624,9538,10769,12385,16591,20021,22562,22630,25109,25634,31872,35530,37889
suit 10012:3:15936,15936,30280
suitabl 10012:4:5983,5983,10277,37693
sulphur 10012:3:1500,1500,1676
sum 10012:2:32458,32458
summer 10012:74:261,261,1226,2843,3445,4036,4132,4133,4239,4788,5636,5654,5707,6236,6237,7001,7414,8842,9357,9805,10454,10499,12031,12633,12699,12974,13171,13398,14918,15012,15038,15208,15365,15384,16098,17129,17154,17541,18035,18403,18626,20450,21284,22027,22293,22338,23276,25344,26356,29291,29669,29742,29891,29988,30423,30445,30452,30488,31074,31237,33195,33264,33462,33522,34236,34842,35735,37296,38973,38992,39268,39806,40042,40515
summeri 10012:5:10004,10004,13984,27276,32423
summit 10012:104:442,442,543,640,1134,1369,1436,1439,1523,1627,1645,1674,1698,1816,1854,1995,2663,3142,3663,4149,4335,4376,5046,5197,5258,5388,5412,5439,5576,5741,6188,6462,6719,7199,7210,7393,7695,7752,7783,7910,8409,8635,8822,8836,8857,9194,9333,9347,9356,9415,9500,9755,10022,10313,10506,10624,10691,11022,11054,11294,11374,12351,12511,14954,15972,16359,16469,16630,17828,18835,19518,19796,20115,20554,21571,21635,22193,23457,24290,24985,26925,27536,28033,28842,32633,32764,33211,34646,34750,35724,36750,36751,38383,38954,38996,39027,39070,40324,40348,40539,40673,40741,40805,41007
sun 10012:75:1031,1031,1599,2013,2145,2534,3706,3735,3764,4037,4248,4438,4779,5609,5787,6271,6430,6925,7168,8098,8186,8252,8415,10347,10495,11814,11823,13076,13178,13202,13899,13918,14025,14181,14604,14947,15128,15297,15347,15443,16566,17571,17575,18071,18429,18448,18559,19581,21052,22836,23557,26692,27418,28200,28369,29425,29495,29555,30500,31268,33523,35695,35742,35836,36485,36927,37214,37301,37929,38071,38388,39217,39247,39266,39284
sunbeam 10012:16:3155,3155,3723,15078,16668,17559,18013,19556,20327,25235,29628,34112,35803,36888,39196,39669
sunburst 10012:2:577,577
sundown 10012:3:29712,29712,40367
sunflow 10012:4:29285,29285,34234,38126
sunglow 10012:2:5302,5302
sungold 10012:2:16105,16105
sunk 10012:2:20718,20718
sunken 10012:2:40526,40526
sunless 10012:2:36192,36192
sunlight 10012:6:6536,6536,7713,16167,17960,27291
sunni 10012:20:484,484,763,7039,10808,14847,16201,16878,18025,19577,24789,25934,29787,30697,32524,33411,33539,38115,39378,40975
sunnier 10012:2:12818,12818
sunris 10012:2:8460,8460
sunset 10012:6:1244,1244,8398,13136,36683,40811
sunshin 10012:64:461,461,1110,1235,1952,2396,2526,2838,3400,3447,4114,4306,4342,4640,4828,4839,5834,5918,8497,9723,9831,10042,10081,10103,10488,10991,12798,14550,14662,17832,18197,21037,22263,22280,23149,23280,23300,24016,26750,27226,27267,27387,28270,28758,29287,29815,30414,30429,30531,31846,33231,33252,35737,35786,36961,37114,37277,37964,38200,38869,39258,39320,39612,40342
sunward 10012:4:10422,10422,17515,36214
superb 10012:7:538,538,3525,16228,17815,19170,27662
superfici 10012:3:3296,3296,35279
superior 10012:10:9419,9419,10360,12559,17851,18109,21506,36785,39537,41151
supper 10012:2:40426,40426
suppl 10012:7:17913,17913,20309,23699,27404,28970,33589
suppli 10012:13:4265,4265,5509,9263,13378,17880,21148,24349,24526,26050,26086,39322,40232
support 10012:8:12830,12830,14518,22469,41460,42261,42431,42587
suppos 10012:11:14924,14924,20606,20793,21181,21217,21410,28482,31415,32843,37914
suppress 10012:3:3568,3568,10685
sure 10012:10:9207,9207,9220,11246,14645,30041,30340,31063,34644,35917
surefoot 10012:2:33935,33935
surer 10012:2:14951,14951
surest 10012:2:40223,40223
surfac 10012:57:2236,2236,3016,3122,3178,3270,3274,3857,3897,3936,4022,4055,4348,4470,4723,6529,6572,6596,7156,7173,8362,10343,11813,12207,12814,14265,15280,15418,15477,15804,16206,16321,16529,17695,19984,23615,24247,27392,28327,29142,31041,31047,31204,31322,31336,31351,31363,31787,34189,34319,34414,35230,36912,37340,38346,38566,40312
surg 10012:10:851,851,5811,6851,9981,15367,22326,28120,28771,29135
surpass 10012:16:895,895,1730,4891,8854,8930,17019,18085,18970,19109,23370,24030,24955,29904,38931,39025
surpassingli 10012:4:5066,5066,5466,38138
surpris 10012:5:6642,6642,11248,11387,40391
surround 10012:12:1410,1410,1574,2452,2757,8017,10515,10678,14961,15114,17772,35384
survei 10012:5:17194,17194,28538,35027,40808
surviv 10012:3:21890,21890,42427
survivor 10012:2:35333,35333
suscept 10012:2:15491,15491
suspect 10012:2:3840,3840
suspend 10012:2:17356,17356
suspici 10012:3:32116,32116,32217
sustain 10012:9:2700,2700,4368,8590,20881,25628,26529,28581,31604
sw 10012:2:30270,30270
swai 10012:6:5873,5873,18610,20008,25064,38214
swainson 10012:2:32542,32542
swallow 10012:2:14895,14895
swamp 10012:2:42526,42526
swampi 10012:2:37734,37734
swarm 10012:13:14860,14860,37522,37547,37555,37567,37590,37685,37858,38573,39854,39861,40229
swash 10012:3:2829,2829,28914
swath 10012:2:5357,5357
swear 10012:2:25500,25500
sweep 10012:32:934,934,1341,4858,4973,5868,7761,10501,12047,13002,15617,16356,16793,17460,17817,22252,23786,27638,28031,28062,28677,28765,29149,29212,29963,33419,36697,37843,38722,38946,39030,40318
sweet 10012:29:1277,1277,4041,7004,7027,11088,17061,17092,17663,17709,24214,24514,24638,25418,25746,26435,30900,30903,30966,31022,32226,36511,36937,36959,37886,38539,39427,39538,40571
sweeten 10012:4:2076,2076,4695,13596
sweeter 10012:2:37288,37288
sweetest 10012:2:33545,33545
sweetli 10012:4:17646,17646,30425,36409
swell 10012:26:3258,3258,5361,7758,9642,10892,10986,12877,15422,15602,18001,18646,20112,25880,27456,27681,29466,29782,30174,31817,32302,33690,35870,37201,39570,40322
swept 10012:15:4543,4543,5047,6522,8491,13353,16946,16990,18348,22056,28997,29058,30604,31417,33309
swift 10012:4:24669,24669,31112,31395
swiftli 10012:3:22362,22362,36979
swim 10012:4:31205,31205,31349,31360
swing 10012:7:14907,14907,17538,23047,26986,28164,36749
swirl 10012:14:1349,1349,2313,4048,4944,8360,9982,10085,12907,25296,27600,27624,28093,39636
swish 10012:2:27620,27620
swiss 10012:2:32863,32863
switzerland 10012:3:1916,1916,2473
swollen 10012:2:28886,28886
swoop 10012:9:3872,3872,7228,12279,18851,26522,26778,31534,32200
swung 10012:2:11369,11369
sycamor 10012:2:40627,40627
syllabl 10012:3:25179,25179,25573
symmetr 10012:8:1511,1511,17818,18206,18674,19014,19105,19194
sympath 10012:2:26335,26335
sympathet 10012:2:5775,5775
sympathi 10012:3:9685,9685,33958
synonym 10012:2:42236,42236
system 10012:10:1991,1991,2822,11418,24873,29023,31614,36390,40955,42690
